id,texto
1,"Trânsito ruim. Carro briga. Acidente. Muito ruim. Tem que mudar. Fim."
2,"Redi sossial muito uso. Pessoa fala coisa. Gosta ou não gosta. Celular. Muito tempo. Isso."
3,"Comer bem é bom. A comida saudável faz bem. Mas tem gente que come mal. Isso é ruim. Tem que comer frutas e verduras. E beber água também. As pessoas precisa cuidar da comida. É isso."
4,"A escola é importante. O jovem vai para escola. Tem aula, matemática, português. Aprende coisas. Mas às vezes é difícil. Tem que estudar."
5,"Educação é bom. A pessoa que estuda pode ter um emprego bom. Mas tem gente que não estuda. Isso é ruim. As escolas tem que ensinar direito. E os alunos também precisa querer aprender. O governo tem que ajudar também. Educação é muito importante para todos."
6,"Hoje tem muita tecnologia. As pessoas usa muito celular e computador. Isso pode ser bom, mas também ruim. Tem gente que só fica no celular e esquece da vida. A família fica longe. Tem que usar com cuidado. Mas ninguém faz isso. Então a tecnologia é boa e ruim ao mesmo tempo."
7,"O meio ambiente é importante. As pessoas precisa cuidar melhor da natureza porque tem muito lixo e poluição. O planeta tá ficando ruim e quente, e isso é ruim para todos. Tem que jogar lixo no lugar certo e não cortar árvores. O governo também deve fazer leis para ajudar. Mas as pessoas não respeita e continua jogando lixo no chão e queimando mato. Por isso, a gente precisa mudar. Se não cuidar, o planeta vai acabar e as pessoas vão sofrer."
8,"Tem muita violência nas escolas. Os alunos briga, os professores não consegue dar aula. Isso é muito ruim e precisa mudar. As escolas precisa ser um lugar de paz. Mas tem muita gente que não respeita. O governo tem que fazer alguma coisa, tipo colocar segurança. Também os pais precisa cuidar mais dos filhos. Se todo mundo fizer sua parte, a escola vai melhorar."
9,"Hoje em dia, muitas crianças passam muito tempo em frente às telas, como celular e televisão. Isso pode causar problemas na saúde e no aprendizado delas. Ficar muito tempo no celular faz mal para os olhos, atrapalha o sono e pode deixar as crianças mais agitadas. Também prejudica o convívio com a família, porque a criança passa mais tempo sozinha. Além disso, quando usa demais as telas, a criança pode deixar de brincar ou fazer outras atividades importantes, como ler e estudar. Isso atrapalha o desenvolvimento. Os pais precisam controlar o tempo que os filhos passam nas telas. Também devem oferecer outras atividades mais saudáveis e participar do tempo com eles. Assim, as crianças vão crescer com mais equilíbrio. Portanto, é preciso cuidado com o uso das telas, para que as crianças tenham uma infância melhor."
10,"No Brasil, muitas pessoas passam fome, mas ao mesmo tempo muito alimento é jogado fora. Isso mostra que existe um problema de desperdício que precisa ser resolvido. Muitos supermercados e restaurantes jogam comida boa no lixo só porque passou um pouco do tempo ou porque a aparência não está bonita. Isso poderia ser doado para quem precisa. Também em casa, as pessoas às vezes compram mais do que precisam e acabam jogando fora. Além disso, falta informação sobre como aproveitar melhor os alimentos. Cascas e talos, por exemplo, podem ser usados para fazer receitas. Isso ajudaria a diminuir o lixo. O governo e as empresas precisam criar campanhas para ensinar a não desperdiçar comida. E também fazer leis para facilitar a doação de alimentos. Assim, menos pessoas vão passar fome. Portanto, o desperdício de comida é um problema sério que precisa ser combatido com educação e ação."
11,"Nas grandes cidades do Brasil, se deslocar de um lugar para outro virou um problema. O trânsito é muito intenso, os ônibus vivem lotados e nem sempre os transportes chegam aos lugares mais afastados. Isso mostra que a mobilidade urbana precisa melhorar. Muitas pessoas passam horas no trânsito todos os dias. Isso causa estresse e cansaço. Além disso, o número de carros nas ruas só aumenta, o que piora a poluição e deixa o ar mais sujo. O transporte público, que deveria ser uma solução, é caro e às vezes perigoso. Outro problema é a falta de ciclovias e calçadas em boas condições. Isso faz com que quem anda de bicicleta ou a pé fique em risco. As cidades não são pensadas para todos os tipos de transporte. Para melhorar, o governo deve investir em transporte público de qualidade, criar mais ciclovias e planejar melhor o crescimento urbano. Com isso, as pessoas poderão se locomover com mais facilidade e segurança. Portanto, a mobilidade urbana deve ser pensada com mais cuidado, para garantir o direito de ir e vir de todos."
12,"A leitura é uma atividade que pode ajudar muito na vida das pessoas. Por meio dos livros, é possível aprender coisas novas, melhorar a escrita e desenvolver o pensamento. No entanto, muitas pessoas no Brasil não têm o hábito de ler, o que pode trazer consequências para a educação. Na escola, quando os alunos leem mais, eles conseguem escrever melhor e entender os textos com mais facilidade. Isso também ajuda a ir bem nas provas. Mas muitos estudantes não têm acesso a livros, porque as bibliotecas são mal cuidadas ou distantes de casa. Além disso, nem todos os professores incentivam a leitura de maneira interessante. Outro ponto é que, com o celular e a internet, os jovens preferem vídeos e redes sociais, o que faz a leitura parecer chata. Isso mostra que é preciso fazer algo para tornar o hábito de ler mais atrativo. Para resolver esse problema, o governo pode criar programas de incentivo à leitura nas escolas e comunidades. Também é importante que os pais leiam com os filhos desde pequenos. Assim, mais pessoas vão gostar de ler e isso vai melhorar a educação no país. Portanto, a leitura é essencial para o crescimento pessoal e precisa ser mais valorizada por todos."
13,"Embora a Constituição Federal de 1988 assegure direitos às pessoas com deficiência, a inclusão plena dessa população ainda não é uma realidade no Brasil. Barreiras físicas, sociais e atitudinais impedem que milhões de brasileiros exerçam sua cidadania de forma completa, revelando uma lacuna entre o que está na lei e o que ocorre na prática. Nas cidades, é comum a ausência de rampas, calçadas acessíveis e sinalização adequada, o que dificulta a mobilidade. No mercado de trabalho, muitas empresas ainda não cumprem a cota legal de contratação ou oferecem ambientes adaptados. A exclusão também ocorre na escola, onde a falta de formação dos professores compromete o processo de aprendizagem dos alunos com deficiência. Além das limitações físicas, o preconceito ainda é um dos principais entraves à inclusão. A visão de que a pessoa com deficiência é incapaz ou dependente reforça o isolamento e prejudica sua autonomia. É necessário romper com esses estigmas por meio da informação e do convívio social. Para mudar esse cenário, o Estado deve investir em infraestrutura, fiscalização e formação continuada de profissionais. A sociedade, por sua vez, precisa adotar uma postura mais acolhedora e empática, reconhecendo que a diversidade é um valor. Portanto, a inclusão só será efetiva quando todos tiverem garantido o direito de pertencer, participar e contribuir, independentemente de suas limitações."
14,"Nos últimos anos, tem se notado um crescimento significativo nos casos de ansiedade entre os jovens. Muitos fatores contribuem para esse aumento, como a pressão por desempenho escolar, o uso excessivo das redes sociais e a instabilidade do mundo atual. Apesar da relevância do tema, a sociedade ainda trata a saúde mental como um tabu. A cobrança constante por resultados, muitas vezes vinda da família e da escola, gera um ambiente de estresse contínuo. O medo do fracasso e a comparação com os outros tornam o jovem mais vulnerável emocionalmente. Além disso, nas redes sociais, a exposição a padrões inalcançáveis de sucesso e beleza pode reforçar sentimentos de inadequação. Contudo, a falta de acesso a atendimento psicológico e a desinformação sobre o assunto impedem que muitos busquem ajuda. Mesmo com campanhas de conscientização, ainda há preconceito em relação a transtornos mentais, o que leva ao silêncio e ao agravamento dos sintomas. É importante que o governo invista em políticas públicas de saúde mental nas escolas, com psicólogos disponíveis e projetos de escuta ativa. As famílias também devem ser orientadas a reconhecer sinais de sofrimento e a oferecer apoio emocional. Com isso, será possível criar um ambiente mais acolhedor e saudável para os jovens. Portanto, enfrentar a ansiedade juvenil exige diálogo, empatia e políticas concretas que valorizem a saúde mental como parte essencial do bem-estar."
