id,texto
1,"A leitura é legal. As pessoas deve ler mais livros pra aprender. Porque livro é bom. A sociedade precisa de leitura e livros são importantes. Tem que ler pra saber mais das coisas. Hoje em dia, as pessoas não lê muito. Isso é ruim. Ler é bom porque ensina as pessoas. A leitura ajuda. Quem lê mais sabe mais coisas. Tem que incentivar a leitura nas escola. Os professor tem que fazer os aluno lê. Assim melhora tudo. Portanto, a leitura é legal e importante. Todos precisa ler pra ser melhor na vida."
2,"O trânsito tem muito carro e moto e as pessoas andam rápido. Acontece acidente por isso. É perigoso. Tem que melhorar. As pessoas dirigem mal. Fica tudo ruim. A cidade fica com problema. Acontece coisa ruim sempre. Tem que fazer alguma coisa pra mudar. Multar e fazer regras. Então, precisa mudar o trânsito que está ruim."
3,"Tem criança que trabalha. Isso é errado. Criança deve brincar e estudar. Mas tem criança que trabalha porque precisa. Isso não pode. É ruim. Criança pequena não pode trabalhar. Deve ficar em casa. O governo tem que parar isso. Portanto, trabalho infantil é ruim e tem que parar."

4,"A tecnologia hoje é muito importante. Todo mundo usa celular, computador e internet. Isso faz a vida ficar melhor. Mas também pode ter problema. Muita gente usa o celular toda hora. Isso faz as pessoas ficarem dependente. A tecnologia ajuda, mas atrapalha também. Porque as pessoas esquecem de conversar. Na escola, a tecnologia pode ser boa. O aluno pesquisa coisa. Mas também pode copiar tudo e não aprender nada. Em resumo, a tecnologia é boa e ruim. Tem que saber usar. Se usar bem, ajuda. Se usar mal, atrapalha."
5,"Hoje os alunos usam celular na aula. Isso atrapalha. Fica olhando o celular e não presta atenção. O professor não gosta disso. Mas também tem professor que deixa usar o celular pra pesquisar. Isso é bom. O celular ajuda, mas tem que usar direito. Então o uso do celular pode ser bom ou ruim. Depende de como usa."
6,"As pessoas jogam lixo na rua. Isso é ruim. Suja o planeta. Tem que cuidar. O meio ambiente é importante. Tem que plantar árvore e não poluir. O governo tem que ajudar também. As empresas poluem e isso é ruim. Se cuidar do meio ambiente, melhora tudo. É bom pra todo mundo."

7,"A mobilidade urbana no Brasil é um problema sério. Muitas cidades têm trânsito ruim e transporte público de baixa qualidade. Isso causa estresse e atrasos. As pessoas perdem muito tempo no trânsito. Isso poderia ser usado em outras atividades. O transporte público muitas vezes está lotado e demora. Para melhorar, o governo poderia investir mais em metrôs, ônibus e ciclovias. Assim, menos pessoas usariam carro e o trânsito melhoraria. Portanto, é preciso pensar em soluções para a mobilidade urbana. Com investimento certo, é possível mudar essa realidade."
8,"Ter uma alimentação saudável é importante para a saúde das pessoas. Comer frutas, verduras e evitar alimentos com muito açúcar faz bem. Porém, muitas pessoas não têm acesso fácil a esses alimentos. Comida saudável é cara e nem todos podem comprar. O governo pode ajudar com campanhas de alimentação e melhorando os preços. A escola também pode ensinar desde cedo a importância disso. Assim, a população terá mais saúde e qualidade de vida."
9,"O bullying é um problema que afeta muitos estudantes. Ele acontece quando uma pessoa é ofendida ou agredida por colegas. Esse tipo de comportamento causa tristeza e pode deixar marcas para a vida toda. O aluno fica com medo e pode até parar de ir à escola. As escolas devem conversar sobre isso com os alunos. Também é importante envolver os pais. Com diálogo e respeito, o bullying pode diminuir nas escolas."

